DATE,MEHOINUSA672N
1984-01-01,51742
1985-01-01,52709
1986-01-01,54608
1987-01-01,55260
1988-01-01,55716
1989-01-01,56678
1990-01-01,55952
1991-01-01,54318
1992-01-01,53897
1993-01-01,53610
1994-01-01,54233
1995-01-01,55931
1996-01-01,56744
1997-01-01,57911
1998-01-01,60040
1999-01-01,61526
2000-01-01,61399
2001-01-01,60038
2002-01-01,59360
2003-01-01,59286
2004-01-01,59080
2005-01-01,59712
2006-01-01,60178
2007-01-01,60985
2008-01-01,58811
2009-01-01,58400
2010-01-01,56873
2011-01-01,56006
2012-01-01,55900
2013-01-01,57856
2014-01-01,56969
2015-01-01,59901
2016-01-01,61779
2017-01-01,62626
2018-01-01,63179
